file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
bergen_03gm-mi_sb_lh_sl.conc.ort.trs,bergen_03gm-mi,148,4.664,690.240
bergen_04gk-sl_sb_lh.trs,bergen_04gk-sl,199,4.696,934.560
bergen_04gk-sl_sb_lh_sl.conc.ort.trs,bergen_04gk-sl,199,4.696,934.560
bjugn_15-19_sb_ifg.trs,bjugn_15-19,538,3.249,1748.160
bjugn_15-19_sb_ifg_akl_vb.conc.ort.trs,bjugn_15-19,538,3.249,1748.160
bjugn_15-aml_sb_ifg.trs,bjugn_15-aml,185,4.797,887.520
bjugn_15-aml_sb_ifg_akl_et.conc.ort.trs,bjugn_15-aml,185,4.797,887.520
bjugn_16-23_hl_kk_ifg.trs,bjugn_16-23,289,4.638,1340.440
bjugn_16-23_hl_kk_ifg_akl_vb.conc.ort.trs,bjugn_16-23,289,4.638,1340.440
bjugn_19-aml_sb_ifg.trs,bjugn_19-aml,148,5.695,842.880
bjugn_19-aml_sb_ifg_akl_et.conc.ort.trs,bjugn_19-aml,148,5.695,842.880
bjugn_23-pmk_hl_kk.trs,bjugn_23-pmk,119,7.430,884.160
bjugn_23-pmk_hl_kk_akl_et.conc.ort.trs,bjugn_23-pmk,119,7.430,884.160
bodoe_01um-02uk_eo_sb.trs,bodoe_01um-02uk,311,4.205,1307.640
bodoe_01um-02uk_eo_sb_akl_vb.conc.ort.trs,bodoe_01um-02uk,311,4.205,1307.640
bodoe_01um-kb_eo_sb.trs,bodoe_01um-kb,124,3.726,462.080
bodoe_01um-kb_eo_sb_akl_vb.conc.ort.trs,bodoe_01um-kb,124,3.726,462.080
bodoe_02uk-kb_eo_sb.trs,bodoe_02uk-kb,111,5.684,630.960
bodoe_02uk-kb_eo_sb_akl_vb.conc.ort.trs,bodoe_02uk-kb,111,5.684,630.960
bodoe_03gm-04gk_sb_eo.trs,bodoe_03gm-04gk,335,4.264,1428.400
bodoe_03gm-04gk_sb_eo_akl_vb.conc.ort.trs,bodoe_03gm-04gk,335,4.264,1428.400
bodoe_03gm-kb_sb_eo.trs,bodoe_03gm-kb,131,5.555,727.640
bodoe_03gm-kb_sb_eo_akl_vb.conc.ort.trs,bodoe_03gm-kb,131,5.555,727.640
bodoe_04gk-kb_sb_eo.trs,bodoe_04gk-kb,162,4.340,703.160
bodoe_04gk-kb_sb_eo_akl_vb.conc.ort.trs,bodoe_04gk-kb,162,4.340,703.160
boemlo_01um-02uk_amg_sb_lh.trs,boemlo_01um-02uk,325,3.805,1236.502
boemlo_01um-02uk_amg_sb_lh_amg.conc.ort.trs,boemlo_01um-02uk,325,3.805,1236.502
boemlo_01um-sl_amg_sb_lh.trs,boemlo_01um-sl,199,3.746,745.410
boemlo_01um-sl_amg_sb_lh_amg.conc.ort.trs,boemlo_01um-sl,199,3.746,745.410
boemlo_02uk-eo_amg_sb_lh.trs,boemlo_02uk-eo,102,6.488,661.793
boemlo_02uk-eo_amg_sb_lh_amg.conc.ort.trs,boemlo_02uk-eo,102,6.488,661.793
boemlo_03gm-04gk_ahl_lh.trs,boemlo_03gm-04gk,408,3.809,1554.218
boemlo_03gm-04gk_ahl_lh_amg.conc.ort.trs,boemlo_03gm-04gk,408,3.809,1554.218
boemlo_03gm-sl_ahl_lh.trs,boemlo_03gm-sl,221,5.588,1235.033
boemlo_03gm-sl_ahl_lh_amg.conc.ort.trs,boemlo_03gm-sl,221,5.588,1235.033
boemlo_04gk-eo_ahl_lh.trs,boemlo_04gk-eo,148,6.127,906.738
boemlo_04gk-eo_ahl_lh_amg.conc.ort.trs,boemlo_04gk-eo,148,6.127,906.738
botnhamn_03-06_as_mi_sl_as.trs,botnhamn_03-06,413,4.625,1910.120
botnhamn_03-06_as_mi_sl_as_sl_akl.conc.ort.trs,botnhamn_03-06,413,4.625,1910.120
botnhamn_03-mn_mi_as.trs,botnhamn_03-mn,112,6.185,692.720
botnhamn_03-mn_mi_as_kh_akl.conc.ort.trs,botnhamn_03-mn,112,6.185,692.720
botnhamn_06-jbj_as.trs,botnhamn_06-jbj,112,6.110,684.360
botnhamn_06-jbj_as_kh_akl.conc.ort.trs,botnhamn_06-jbj,112,6.110,684.360
brekkom_01um-03gm_amg_eo_as.trs,brekkom_01um-03gm,310,4.557,1412.560
brekkom_01um-03gm_amg_eo_as_ks.conc.ort.trs,brekkom_01um-03gm,310,4.557,1412.560
brekkom_01um-sl_amg_eo_as.trs,brekkom_01um-sl,86,5.441,467.960
brekkom_01um-sl_amg_eo_as_ks_akl.conc.ort.trs,brekkom_01um-sl,86,5.441,467.960
brekkom_02uk-04gk_amg_hcfh_as.trs,brekkom_02uk-04gk,344,3.905,1343.240
brekkom_02uk-04gk_amg_hcfh_as_ks.conc.ort.trs,brekkom_02uk-04gk,344,3.905,1343.240
brekkom_02uk-sl_amg_hcfh_as.trs,brekkom_02uk-sl,96,4.646,446.000
brekkom_02uk-sl_amg_hcfh_as_ks_akl.conc.ort.trs,brekkom_02uk-sl,96,4.646,446.000
brekkom_03gm-sl_amg_eo_as.trs,brekkom_03gm-sl,105,4.050,425.240
brekkom_03gm-sl_amg_eo_as_ks_akl.conc.ort.trs,brekkom_03gm-sl,105,4.050,425.240
brekkom_04gk-iii_amg_hcfh_as.trs,brekkom_04gk-iii,120,6.165,739.760
brekkom_04gk-iii_amg_hcfh_as_ks.conc.ort.trs,brekkom_04gk-iii,120,6.165,739.760
brunlanes_01um-02uk_ahl_amg.trs,brunlanes_01um-02uk,671,2.271,1523.520
brunlanes_01um-02uk_ahl_amg_amg.conc.ort.trs,brunlanes_01um-02uk,671,2.271,1523.520
brunlanes_01um-ifg_ahl_amg.trs,brunlanes_01um-ifg,109,8.173,890.880
brunlanes_01um-ifg_ahl_amg_amg.conc.ort.trs,brunlanes_01um-ifg,109,8.173,890.880
brunlanes_02uk-ifg_ahl_amg.trs,brunlanes_02uk-ifg,161,5.366,864.000
brunlanes_02uk-ifg_ahl_amg_amg.conc.ort.trs,brunlanes_02uk-ifg,161,5.366,864.000
brunlanes_03gm-04gk_ifg_amg.trs,brunlanes_03gm-04gk,469,3.374,1582.560
brunlanes_03gm-04gk_ifg_amg_amg.conc.ort.trs,brunlanes_03gm-04gk,469,3.374,1582.560
brunlanes_03gm-ifg_ifg_amg.trs,brunlanes_03gm-ifg,138,6.080,839.040
brunlanes_03gm-ifg_ifg_amg_amg.conc.ort.trs,brunlanes_03gm-ifg,138,6.080,839.040
brunlanes_04gk-ifg_ifg_amg.trs,brunlanes_04gk-ifg,107,8.999,962.880
brunlanes_04gk-ifg_ifg_amg_amg.conc.ort.trs,brunlanes_04gk-ifg,107,8.999,962.880
bud_01um-02uk_eo_hl_ifg.trs,bud_01um-02uk,485,3.760,1823.360
bud_01um-02uk_eo_hl_ifg_ifg_akl.conc.ort.trs,bud_01um-02uk,485,3.760,1823.360
bud_01um-ma_eo_lh.trs,bud_01um-ma,128,5.224,668.720
bud_01um-ma_eo_lh_ifg_akl.conc.ort.trs,bud_01um-ma,128,5.224,668.720
bud_02uk-ma_eo_hl_ifg.trs,bud_02uk-ma,139,4.856,675.000
bud_02uk-ma_eo_hl_ifg_ifg_akl.conc.ort.trs,bud_02uk-ma,139,4.856,675.000
bud_03gm-04gk_hl_eo.trs,bud_03gm-04gk,370,4.948,1830.920
bud_03gm-04gk_hl_eo_ifg_akl.conc.ort.trs,bud_03gm-04gk,370,4.948,1830.920
bud_03gm-ma_hl_eo.trs,bud_03gm-ma,159,4.827,767.520
