file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
tana_03gm-04gk_kk_ifg.trs,3,418,2402.36,302,2035.058,84.71,125,1163.527,48.43,0,0.0,177,4,689.867,15.653,516.414,,
tana_03gm-ov_kk_sb.trs,2,124,806.4,46,247.906,30.74,6,21.639,2.68,0,0.0,40,4,184.013,592.325,,,
tana_04gk-ov_kk_sb.trs,2,114,633.92,47,282.624,44.58,7,65.014,10.26,0,0.0,40,4,156.307,400.745,,,
time_01um-02uk_sr_amg.trs,3,306,1004.2,101,497.914,49.58,16,50.199,5.0,0,0.0,85,4,317.334,627.534,1.685,,
time_01um-jbj_sr_amg.trs,2,236,823.64,16,67.869,8.24,1,3.105,0.38,0,0.0,15,4,349.074,469.305,,,
time_02uk-sr_ahl_amg.trs,2,92,576.72,9,60.489,10.49,1,10.183,1.77,0,0.0,8,4,111.498,432.265,,,
time_03gm-04gk_ahl_amg.trs,3,241,1809.96,105,1065.145,58.85,33,481.776,26.62,0,0.0,72,4,828.72,478.288,3.553,,
time_03gm-sr_sr_amg.trs,2,52,757.08,10,41.655,5.5,3,9.018,1.19,0,0.0,7,4,81.473,666.589,,,
time_04gk-jbj_ahl_amg.trs,2,111,818.8,25,212.139,25.91,7,68.89,8.41,0,0.0,18,4,533.068,216.842,,,
tinn_01um-05um_amg_lh.trs,2,245,1214.96,126,917.724,75.54,20,240.193,19.77,0,0.0,106,4,484.614,484.502,,,
tinn_01um-sl_amg_as.trs,2,41,502.44,11,113.392,22.57,1,2.73,0.54,0,0.0,10,4,55.268,435.308,,,
tinn_03gm-04gk_amg_lh.trs,2,208,1409.52,96,960.421,68.14,22,420.717,29.85,0,0.0,74,4,507.733,479.615,,,
tinn_03gm-mi_amg_lh.trs,2,68,1215.0,11,76.328,6.28,0,0.0,0.0,0,0.0,11,4,95.21,1115.164,,,
tinn_04gk-mi_amg_lh.trs,2,82,1087.6,11,86.965,8.0,0,0.0,0.0,0,0.0,11,4,950.053,137.547,,,
tinn_05um-sl_amg_as.trs,2,69,882.16,7,88.04,9.98,0,0.0,0.0,0,0.0,7,4,111.7,747.969,,,
todalen_01um-02uk_ifg_lh.trs,2,167,845.96,86,583.383,68.96,15,131.015,15.49,0,0.0,71,4,322.363,322.195,,,
todalen_01um-ta_ifg_lh.trs,2,93,852.0,24,207.017,24.3,3,16.33,1.92,0,0.0,21,4,289.931,517.218,,,
todalen_02uk-ta_ifg_lh.trs,2,78,666.0,23,159.783,23.99,2,5.278,0.79,0,0.0,21,4,268.032,348.048,,,
todalen_03gm-04gk_sb_lh.trs,3,334,1938.0,188,1521.623,78.52,48,580.648,29.96,0,0.0,140,4,613.536,706.663,4.035,,
todalen_03gm-ta_sb_lh.trs,2,95,761.52,23,175.82,23.09,0,0.0,0.0,0,0.0,23,4,452.773,255.251,,,
todalen_04gk-ta_sb_lh.trs,3,210,984.0,58,295.078,29.99,6,48.345,4.91,0,0.0,52,4,579.754,317.271,0.572,,
tromsoe_01um-02uk_ahl_sb.trs,3,374,2334.44,238,1962.57,84.07,44,666.118,28.53,0,0.0,194,4,832.901,796.105,,,
tromsoe_01um-kb_ahl_ifg_sb.trs,2,84,642.32,25,108.418,16.88,2,12.686,1.98,0,0.0,23,4,160.869,450.546,,,
tromsoe_02uk-kb_ahl_ifg_sb.trs,2,84,686.96,32,150.422,21.9,2,14.786,2.15,0,0.0,30,4,162.028,487.085,,,
tromsoe_03gm-04gk_sb_kk_eo_akl.trs,3,326,2035.12,227,1836.912,90.26,73,984.621,48.38,0,0.0,154,4,764.38,265.901,1.641,,
tromsoe_03gm-kb_sb_kk_eo.trs,2,167,1136.12,74,510.79,44.96,15,110.021,9.68,0,0.0,59,4,864.413,136.24,,,
tromsoe_04gk-kb_sb_kk_lh.trs,2,137,960.0,65,401.142,41.79,10,70.659,7.36,0,0.0,55,4,712.555,169.575,,,
trondheim_01um-02uk_ifg_sb.trs,2,369,1533.08,156,918.384,59.9,19,165.092,10.77,0,0.0,137,4,535.346,806.195,,,
