file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4
tinn_03gm-mi_amg_lh.trs,2,68,1215.0,11,76.328,6.28,7,63.304,5.21,0,0.0,4,0,76.812,1070.258,,
tinn_04gk-mi_amg_lh.trs,2,82,1087.6,11,86.965,8.0,11,86.965,8.0,0,0.0,0,0,914.72,85.915,,
tinn_05um-sl_amg_as.trs,2,69,882.16,7,88.04,9.98,7,88.04,9.98,0,0.0,0,0,85.015,686.614,,
todalen_01um-02uk_ifg_lh.trs,2,167,845.96,86,583.383,68.96,76,546.319,64.58,0,0.0,10,0,105.64,123.614,,
todalen_01um-ta_ifg_lh.trs,2,93,852.0,24,207.017,24.3,19,183.731,21.56,0,0.0,5,0,154.312,485.436,,
todalen_02uk-ta_ifg_lh.trs,2,78,666.0,23,159.783,23.99,23,159.783,23.99,0,0.0,0,0,119.704,341.871,,
todalen_03gm-04gk_sb_lh.trs,3,334,1938.0,188,1521.623,78.52,171,1446.976,74.66,0,0.0,17,0,268.544,186.999,2.363,
todalen_03gm-ta_sb_lh.trs,2,95,761.52,23,175.82,23.09,22,157.464,20.68,0,0.0,1,0,400.896,149.664,,
todalen_04gk-ta_sb_lh.trs,3,210,984.0,58,295.078,29.99,52,265.435,26.98,0,0.0,6,0,561.835,118.1,0.572,
tromsoe_01um-02uk_ahl_sb.trs,3,374,2334.44,238,1962.57,84.07,204,1798.555,77.04,0,0.0,34,0,243.899,252.67,,
tromsoe_01um-kb_ahl_ifg_sb.trs,2,84,642.32,25,108.418,16.88,19,94.378,14.69,0,0.0,6,0,90.017,439.706,,
tromsoe_02uk-kb_ahl_ifg_sb.trs,2,84,686.96,32,150.422,21.9,31,147.799,21.51,0,0.0,1,0,36.781,479.319,,
tromsoe_03gm-04gk_sb_kk_eo_akl.trs,3,326,2035.12,227,1836.912,90.26,218,1782.873,87.61,0,0.0,9,0,186.648,45.381,1.641,
tromsoe_03gm-kb_sb_kk_eo.trs,2,167,1136.12,74,510.79,44.96,71,500.607,44.06,0,0.0,3,0,551.841,58.226,,
tromsoe_04gk-kb_sb_kk_lh.trs,2,137,960.0,65,401.142,41.79,65,401.142,41.79,0,0.0,0,0,491.17,60.477,,
trondheim_01um-02uk_ifg_sb.trs,2,369,1533.08,156,918.384,59.9,107,685.873,44.74,0,0.0,49,0,287.68,533.08,,
trondheim_01um-lks_ifg_sb.trs,2,70,539.52,4,21.446,3.98,4,21.446,3.98,0,0.0,0,0,101.751,395.916,,
trondheim_02uk-lks_ifg_sb.trs,2,62,562.88,3,6.145,1.09,3,6.145,1.09,0,0.0,0,0,100.359,432.743,,
trondheim_03gm-04gk_sb_amg.trs,2,246,1236.0,138,1041.198,84.24,128,1007.238,81.49,0,0.0,10,0,91.102,131.579,,
trondheim_03gm-ran_sb_amg.trs,2,119,658.4,58,298.602,45.35,58,298.602,45.35,0,0.0,0,0,302.122,53.122,,
trondheim_04gk-ran_sb_amg.trs,2,155,654.0,73,356.301,54.48,68,340.848,52.12,0,0.0,5,0,239.792,67.422,,
trysil_01um-02uk_sb_mi.trs,2,256,1131.76,95,690.739,61.03,73,617.38,54.55,0,0.0,22,0,302.3,212.08,,
trysil_01um-ifg_sb_mi.trs,2,100,926.12,14,103.328,11.16,9,64.26,6.94,0,0.0,5,0,650.686,201.158,,
trysil_02uk-sl_sb_lh.trs,2,125,711.72,29,122.202,17.17,15,75.196,10.57,0,0.0,14,0,457.248,179.276,,
trysil_03gm-04gk_eo_ifg_amg.trs,2,191,1038.72,127,934.866,90.0,122,920.159,88.59,0,0.0,5,0,33.167,68.796,,
trysil_03gm-ifg_eo_lh.trs,2,27,813.08,2,7.909,0.97,2,7.909,0.97,0,0.0,0,0,44.868,743.514,,
trysil_04gk-sl_eo_lh.trs,2,129,781.44,49,225.495,28.86,49,225.495,28.86,0,0.0,0,0,30.027,510.012,,
valle_01um-02uk_eo_amg.trs,2,197,1281.0,143,1112.617,86.86,138,1095.389,85.51,0,0.0,5,0,66.311,98.767,,
valle_01um-sl_eo_amg.trs,2,79,825.0,14,57.345,6.95,14,57.345,6.95,0,0.0,0,0,103.43,656.236,,
valle_02uk-eo_eo_amg.trs,2,112,858.84,31,189.949,22.12,29,172.135,20.04,0,0.0,2,0,78.73,587.633,,
valle_03gm-04gk_eo_amg_lh.trs,2,218,1368.16,132,1096.817,80.17,129,1079.216,78.88,0,0.0,3,0,122.042,158.286,,
valle_03gm-eo_eo_amg.trs,2,109,834.12,13,56.228,6.74,12,50.862,6.1,0,0.0,1,0,219.339,545.273,,
valle_04gk-sl_eo_amg.trs,2,117,833.8,36,313.366,37.58,32,291.713,34.99,0,0.0,4,0,83.469,446.313,,
vang_01um-02uk_eo_amg_as.trs,2,214,1314.64,147,1166.758,88.75,130,1109.551,84.4,0,0.0,17,0,72.759,129.111,,
vang_01um-mi_eo_as.trs,2,79,781.28,11,94.243,12.06,6,81.337,10.41,0,0.0,5,0,129.49,558.372,,
vang_02uk-sl_eo_as.trs,2,62,525.24,5,16.283,3.1,2,6.295,1.2,0,0.0,3,0,124.677,393.815,,
vang_03gm-04gk_lh_eo_sl.trs,2,187,1298.88,132,1135.664,87.43,127,1114.059,85.77,0,0.0,5,0,119.05,59.38,,
vang_03gm-sl_lh_eo_as.trs,2,99,1129.12,16,106.729,9.45,11,87.111,7.71,0,0.0,5,0,161.323,712.714,,
vang_04gk-mi_lh_eo_as.trs,2,102,1052.52,15,106.901,10.16,11,99.292,9.43,0,0.0,4,0,112.805,819.413,,
vardoe_01um-02uk_eo_kk.trs,3,414,2470.96,218,1788.786,72.39,198,1679.844,67.98,0,0.0,20,0,316.695,461.589,5.198,
vardoe_01um-kb_eo_kk.trs,2,129,765.84,35,175.62,22.93,30,157.757,20.6,0,0.0,5,0,156.266,436.269,,
vardoe_02uk-kb_eo_kk.trs,2,135,972.4,34,195.915,20.15,29,164.53,16.92,0,0.0,5,0,195.506,588.602,,
vardoe_03gm-04gk_kk_eo.trs,2,413,2913.0,351,2786.568,95.66,345,2740.709,94.09,0,0.0,6,0,80.787,68.094,,
vardoe_03gm-kb_kk_eo.trs,2,130,1136.32,62,363.953,32.03,58,346.939,30.53,0,0.0,4,0,40.11,727.803,,
vardoe_04gk-kb_kk_eo.trs,2,178,1294.04,128,960.728,74.24,124,941.51,72.76,0,0.0,4,0,27.159,312.81,,
vegaarshei_01um-02uk_ifg_eo.trs,2,244,1102.04,173,965.202,87.58,160,927.651,84.18,0,0.0,13,0,86.398,78.762,,
vegaarshei_01um-sl_lh_amg.trs,2,101,1110.0,34,165.645,14.92,30,152.004,13.69,0,0.0,4,0,85.621,810.932,,
vegaarshei_02uk-eo_sr_eo.trs,2,148,1204.6,36,131.645,10.93,34,129.315,10.74,0,0.0,2,0,96.527,964.452,,
vegaarshei_03gm-04gk_sb_eo_lh.trs,2,177,1218.0,95,993.463,81.57,90,978.703,80.35,0,0.0,5,0,65.502,125.347,,
vegaarshei_03gm-sl_eo_lh.trs,2,82,888.0,30,259.399,29.21,26,243.326,27.4,0,0.0,4,0,71.469,512.516,,
vegaarshei_04gk-eo_sb_lh.trs,2,90,728.64,20,156.366,21.46,17,149.796,20.56,0,0.0,3,0,479.337,74.944,,
vennesla_01um-02uk_eo_lh.trs,3,382,1263.04,188,964.023,76.33,142,763.361,60.44,0,0.0,46,0,172.149,311.314,9.325,
vennesla_01um-sl_eo_lh.trs,2,77,608.48,20,71.414,11.74,15,51.978,8.54,0,0.0,5,0,470.057,86.445,,
vennesla_02uk-sl_eo_lh.trs,2,88,658.88,33,174.911,26.55,23,133.749,20.3,0,0.0,10,0,434.059,91.072,,
vennesla_03gm-04gk_lh_mi.trs,2,307,1121.8,148,822.388,73.31,126,767.147,68.39,0,0.0,22,0,172.511,178.827,,
vennesla_03gm-sl_lh_ahl_lh.trs,2,54,2371.08,10,56.917,2.4,9,55.748,2.35,0,0.0,1,0,1777.376,537.956,,
vennesla_04gk-sl_lh_mi.trs,2,123,561.44,42,174.464,31.07,39,167.643,29.86,0,0.0,3,0,41.024,343.425,,
vestre_slidre_03gm-04gk_ifg_eo.trs,2,306,1344.0,160,887.492,66.03,154,869.979,64.73,0,0.0,6,0,160.97,290.274,,
vestre_slidre_03gm-ifg_ifg_eo.trs,2,111,650.88,23,114.775,17.63,23,114.775,17.63,0,0.0,0,0,118.781,390.83,,
vestre_slidre_04gk-ifg_ifg_eo.trs,2,158,967.36,37,193.828,20.04,36,192.779,19.93,0,0.0,1,0,114.64,652.024,,
vinje_01um-05um_amg_lh.trs,2,204,1272.0,76,760.132,59.76,65,682.822,53.68,0,0.0,11,0,299.974,278.258,,
vinje_01um-as_amg_lh.trs,2,64,339.96,10,50.9,14.97,8,43.506,12.8,0,0.0,2,0,105.191,186.112,,
vinje_04gk-08gk_lh_mi.trs,2,127,1204.48,80,922.874,76.62,80,922.874,76.62,0,0.0,0,0,64.69,203.752,,
vinje_04gk-sl_lh_amg_mi.trs,2,51,912.0,9,40.47,4.44,9,40.47,4.44,0,0.0,0,0,64.171,799.799,,
vinje_05um-as_amg_lh.trs,2,64,446.44,10,44.839,10.04,8,35.633,7.98,0,0.0,2,0,290.398,111.514,,
vinje_08gk-sl_lh_sl_mi.trs,2,87,952.92,15,314.049,32.96,12,59.138,6.21,0,0.0,3,0,326.293,557.02,,
volda_01um-02uk_sb_ifg.trs,2,176,1321.44,88,1089.899,82.48,80,1024.43,77.52,0,0.0,8,0,125.507,163.92,,
volda_01um-amr_sb_ifg.trs,2,56,498.76,9,40.224,8.06,6,27.677,5.55,0,0.0,3,0,400.41,67.811,,
volda_02uk-amr_sb_ifg.trs,2,94,603.32,26,125.286,20.77,23,106.994,17.73,0,0.0,3,0,418.23,63.525,,
volda_03gm-04gk_sb_eo.trs,2,255,1215.88,136,937.982,77.14,134,931.686,76.63,0,0.0,2,0,114.814,150.741,,
volda_03gm-amr_sb_eo.trs,2,95,899.08,18,149.14,16.59,15,140.659,15.64,0,0.0,3,0,642.605,89.785,,
volda_04gk-amr_sb_eo.trs,2,161,768.48,38,148.357,19.31,35,140.416,18.27,0,0.0,3,0,519.728,89.217,,
voss_01um-02uk_mi_lh.trs,2,330,1502.76,163,1105.798,73.58,125,878.534,58.46,0,0.0,38,0,345.748,276.046,,
voss_01um-sl_mi_lh.trs,2,116,651.64,22,129.535,19.88,20,127.126,19.51,0,0.0,2,0,88.839,431.691,,
voss_02uk-mi_sb_mi.trs,2,66,726.08,11,87.926,12.11,11,87.926,12.11,0,0.0,0,0,558.721,77.835,,
voss_03gm-04gk_sb_mi.trs,2,184,1350.04,122,1228.081,90.97,113,1188.256,88.02,0,0.0,9,0,67.543,89.614,,
voss_03gm-mi_sb_mi.trs,2,59,647.96,15,139.509,21.53,12,134.573,20.77,0,0.0,3,0,433.522,68.418,,
voss_04gk-sl_mi_lh.trs,2,210,849.08,56,229.404,27.02,53,222.524,26.21,0,0.0,3,0,70.756,544.135,,
